text,episode,video_name,segment_id,frame_start,frame_end
Dolores,1,Ave Mujica,0,392,496
"來吧,甦醒之夜到來了",1,Ave Mujica,1,512,560
需不需要我把她叫醒?,1,Ave Mujica,2,576,632
硬是叫醒她,1,Ave Mujica,3,636,656
可能會導致靈魂毀壞,1,Ave Mujica,4,660,700
姊姊大人,1,Ave Mujica,5,712,736
"不用擔心,月光會將她喚醒",1,Ave Mujica,6,740,816
被黑影吞噬的月亮重燃生機,1,Ave Mujica,7,848,916
可憐的人偶,1,Ave Mujica,8,940,980
再次被賦予了短暫的生命,1,Ave Mujica,9,984,1048
就讓我們開始吧,1,Ave Mujica,10,1524,1568
今夜的面具舞會,1,Ave Mujica,11,1576,1616
在擺弄下流淌而出的無聲之音,1,Ave Mujica,12,2472,2492
在擺弄下流淌而出的無聲之音 SCHECTER outopiC,1,Ave Mujica,13,2496,2496
在擺弄下流淌而出的無聲之音,1,Ave Mujica,14,2500,2584
已捨棄一切名字,1,Ave Mujica,15,2588,2616
你的模糊身影正在哭泣,1,Ave Mujica,16,2620,2696
"can not, can not,not, not,not deny",1,Ave Mujica,17,2700,2756
耄無疑問的真實,1,Ave Mujica,18,2760,2808
"來吧,委身於我",1,Ave Mujica,19,2844,2864
有如回歸初始般,1,Ave Mujica,20,2868,2924
能量正在循環,1,Ave Mujica,21,2936,3000
"沒錯,此刻處於無重力",1,Ave Mujica,22,3004,3072
象徵性的遊行,1,Ave Mujica,23,3076,3156
在這月夜中抬頭仰望吧,1,Ave Mujica,24,3160,3248
Icompleteness 0,1,Ave Mujica,25,3252,3288
"吋啊,高舉生命的燈火",1,Ave Mujica,26,3292,3380
"7(0 KiLLKiSS judy, KLLKiSSjudu, KiLLKiSSjuda",1,Ave Mujica,27,3384,3464
偽裝欺瞞,1,Ave Mujica,28,3468,3468
) 偽裝欺瞞,1,Ave Mujica,29,3472,3488
"KiLLKiSS judy, KiLLKiSSjudu, KiLLKiSSjuda",1,Ave Mujica,30,3492,3576
緊緊擁抱,1,Ave Mujica,31,3580,3604
